operator,id_ticket,date,activity
Alam,6210/BJBR/Jul/2019,"2019-07-21 10:04:00.0",CLOSE
Alam,6205/BJBR/Jul/2019,"2019-07-20 21:20:15.0",CLOSE
Alam,6198/BJBR/Jul/2019,"2019-07-20 20:58:00.0",CLOSE
Laura,6200/BSBB/Jul/2019,"2019-07-20 19:29:00.0",CLOSE
Alam,6202/BJBR/Jul/2019,"2019-07-20 18:49:00.0",CLOSE
Laura,6195/BRKR/Jul/2019,"2019-07-20 17:20:00.0",CLOSE
Alam,6178/BJBR/Jul/2019,"2019-07-20 17:10:00.0",CLOSE
Alam,6179/BJBR/Jul/2019,"2019-07-20 12:45:00.0",CLOSE
Sayyid,6152/BSBB/Jul/2019,"2019-07-20 11:14:00.0",CLOSE
Paul,6177/BJBR/Jul/2019,"2019-07-19 19:21:30.0",CLOSE
Yefta,6176/BSBB/Jul/2019,"2019-07-19 18:29:45.0",CLOSE
Paul,6169/BJBR/Jul/2019,"2019-07-19 18:15:30.0",CLOSE
Paul,6163/BJBR/Jul/2019,"2019-07-19 18:13:15.0",CLOSE
Fajar,6132/BJBR/Jul/2019,"2019-07-19 18:12:00.0",CLOSE
Paul,6170/BJBR/Jul/2019,"2019-07-19 16:52:30.0",CLOSE
Siwi,6080/BRKR/Jul/2019,"2019-07-19 16:44:00.0",CLOSE
Paul,6147/BJBR/Jul/2019,"2019-07-19 15:58:30.0",CLOSE
Paul,6160/BJBR/Jul/2019,"2019-07-19 15:25:00.0",CLOSE
Paul,6156/BJBR/Jul/2019,"2019-07-19 14:40:00.0",CLOSE
Fajar,6148/BJBR/Jul/2019,"2019-07-19 14:21:00.0",CLOSE
Paul,6166/BJBR/Jul/2019,"2019-07-19 14:13:15.0",CLOSE
Paul,6162/BJBR/Jul/2019,"2019-07-19 13:41:30.0",CLOSE
Fajar,6154/BJBR/Jul/2019,"2019-07-19 13:15:00.0",CLOSE
Yefta,6144/BRKR/Jul/2019,"2019-07-19 12:36:45.0",CLOSE
Fajar,6151/BJBR/Jul/2019,"2019-07-19 11:26:00.0",CLOSE
